Feature	Gain	Cover	Frequency
ctrx_quarter	0.184408977072787	0.0833544718894465	0.0129983752030996
mcaja_ahorro	0.103563200113088	0.064890521418845	0.0152480939882515
cdescubierto_preacordado	0.0459572669582259	0.00896480489177655	0.00624921884764405
mtarjeta_visa_consumo	0.045920514038609	0.045971001808442	0.0149981252343457
mcuenta_corriente	0.0423788187403132	0.0101558943077941	0.0173728283964504
mcaja_ahorro_lag1	0.0283317407806399	0.0112129472360167	0.00549931258592676
mcuentas_saldo	0.0264325365730699	0.0404392653302179	0.0181227346581677
foto_mes	0.023083076622523	0.0352270001627537	0.0411198600174978
ctarjeta_visa_transacciones	0.0229555304546949	0.027954206515301	0.00837395325584302
cpayroll_trx	0.0203942197362806	0.0524117277452629	0.0118735158105237
mpayroll	0.0164843790866714	0.0460609548595183	0.0119985001874766
Visa_status	0.0164253637247062	0.00805312582820468	0.00312460942382202
mprestamos_personales	0.0137944230870904	0.0175825346322587	0.013623297087864
ctarjeta_visa_delta2	0.0137890400876586	0.000301396401867141	0.000749906261717285
Visa_msaldototal	0.00998202430782719	0.00824567514144388	0.00649918760154981
Visa_cconsumos	0.00921635839775821	0.00202956859776412	0.00349956255468067
Visa_status_delta2	0.00847941099347769	0.0022833123887172	0.00124984376952881
mpayroll_sobre_edad	0.00817531208658303	0.0224591176942221	0.00649918760154981
ctrx_quarter_lag1	0.0080448435170057	0.00583186839992849	0.00437445319335083
mprestamos_personales_delta2	0.00701768977526758	0.00625584303161254	0.00999875015623047
cproductos	0.00687386264423023	0.0299813543095334	0.0117485314335708
ctrx_quarter_delta1	0.00675287868602083	0.0137322148041896	0.0133733283339583
Visa_mpagominimo	0.00642462517029582	0.0320730383082997	0.0133733283339583
ctrx_quarter_delta2	0.00640779372013105	0.00964838127723064	0.0111236095488064
cdescubierto_preacordado_delta2	0.00617285080170889	0.0088587396595067	0.00599925009373828
cprestamos_personales_delta2	0.006164168177394	0.00916512558875827	0.00412448443944507
ctarjeta_visa	0.00539275946061244	0.00731774711014511	0.00237470316210474
mpasivos_margen	0.00531530084468743	0.00989612713775124	0.00687414073240845
mcuenta_corriente_delta2	0.00494157528249898	0.00481557308701544	0.00724909386326709
ccomisiones_mantenimiento_delta2	0.00490018286765504	0.0042458253648683	0.00562429696287964
mactivos_margen	0.00473651359712061	0.00986550285969585	0.0113735783027122
mprestamos_personales_lag1	0.00444106672446531	0.0013125145035477	0.00474940632420947
Master_status	0.0044352103859454	0.00467949593500802	0.00149981252343457
cproductos_delta2	0.00442840501586252	0.00773251728056882	0.00687414073240845
mrentabilidad_annual_lag2	0.00427719205175286	0.00332602499851515	0.00687414073240845
mcuentas_saldo_delta2	0.00427652161058953	0.00853288391683059	0.00887389076365454
cprestamos_personales_delta1	0.00426069988591272	0.00145451642109767	0.00149981252343457
ctarjeta_master_delta2	0.00400229946056005	0.000392642562845722	0.000749906261717285
cproductos_delta1	0.00390794077730065	0.00967128029723497	0.00749906261717285
cprestamos_personales	0.00366984965190448	0.00189496110571948	0.00424946881639795
cprestamos_personales_lag2	0.00320503318419192	0.000463246681619937	0.00112485939257593
mprestamos_personales_delta1	0.00315974337762575	0.00553694390973723	0.00612423447069116
mrentabilidad_annual_lag1	0.00315775329786599	0.00399938056695543	0.00624921884764405
mtransferencias_recibidas	0.00315693210158956	0.0111674402650266	0.00749906261717285
mtarjeta_master_consumo	0.00310102009784493	0.00897363716642294	0.00537432820897388
Visa_mpagominimo_delta1	0.00302164589489071	0.0076373281682399	0.00687414073240845
mttarjeta_visa_debitos_automaticos_delta2	0.00288298652985352	0.00549419652753007	0.00824896887889014
mcomisiones_mantenimiento	0.00287698265796226	0.00804793112102026	0.00874890638670166
internet	0.00286527513175618	0.00465085824276811	0.00537432820897388
mcomisiones_mantenimiento_delta2	0.00275730678619799	0.0020108733778481	0.00574928133983252
mrentabilidad	0.00269801395781911	0.00181232931525861	0.005249343832021
mrentabilidad_annual	0.00269690331209448	0.00148456174219803	0.00537432820897388
chomebanking_transacciones	0.00266459448544401	0.00270732042176403	0.00812398450193726
ccomisiones_mantenimiento_delta1	0.00250043487635717	0.0065465080527775	0.00474940632420947
mcomisiones	0.00247157996768919	0.00129952773558664	0.00412448443944507
ccallcenter_transacciones	0.00242736607133265	0.00598650875694185	0.00549931258592676
mactivos_margen_lag1	0.00242668060855136	0.00620217817539623	0.00737407824021997
mcuenta_corriente_lag1	0.00242326961418335	0.00346734139285738	0.00637420322459693
Visa_fechaalta	0.00242307387723057	0.00753784141389865	0.00712410948631421
ctrx_quarter_lag2	0.00238893955899883	0.00145204631079228	0.00562429696287964
mrentabilidad_annual_delta1	0.00234216885940279	0.00452102555506138	0.00649918760154981
ctarjeta_visa_transacciones_delta2	0.00226733359907327	0.00415770620766332	0.00549931258592676
mcuentas_saldo_lag1	0.00226210507985226	0.00313732320416118	0.00562429696287964
mrentabilidad_annual_delta2	0.00225431608895452	0.00270147041165249	0.00749906261717285
mcuentas_saldo_lag2	0.00223988580620799	0.00152272200391533	0.00749906261717285
Master_Fvencimiento	0.00223673612869665	0.000566051304665024	0.00562429696287964
Master_fechaalta_lag2	0.00222045921078273	0.000294798837445527	0.00349956255468067
mcaja_ahorro_delta2	0.00220323057322683	0.00102970198372062	0.00487439070116236
mttarjeta_visa_debitos_automaticos_lag2	0.00209713006571802	0.00242874987501131	0.00624921884764405
mpasivos_margen_lag2	0.00207291336226269	0.00215697571031585	0.00612423447069116
Master_fechaalta	0.00204627080322823	0.00149898635930016	0.00574928133983252
cliente_edad	0.00203927976726503	0.00255717970548084	0.00649918760154981
mrentabilidad_lag2	0.0019963464822873	0.000503803888752709	0.00337457817772778
mprestamos_personales_lag2	0.00198609051479011	0.00241514120548591	0.00412448443944507
cliente_antiguedad	0.00195921068929995	0.00503231453016127	0.00549931258592676
Visa_mpagominimo_delta2	0.00195147874497295	0.00290732778215196	0.00462442194725659
mcomisiones_lag2	0.00193944710759407	0.00220248586238808	0.00549931258592676
thomebanking	0.00193921202059066	0.00279834072590851	0.00474940632420947
ccallcenter_transacciones_delta2	0.00191729963860134	0.00588149646287044	0.00549931258592676
Master_mfinanciacion_limite	0.0018961718040937	0.00139238511468458	0.00424946881639795
mactivos_margen_lag2	0.00183713240622206	0.00202300761578747	0.0058742657167854
cliente_edad_lag2	0.00183710542924096	0.00243292027373683	0.00724909386326709
chomebanking_transacciones_delta2	0.00181167465490364	0.00155217723427306	0.0058742657167854
cliente_edad_lag1	0.00181150912326214	0.0021070024999584	0.00462442194725659
Visa_fechaalta_lag2	0.00180250938863903	0.000873862358728976	0.00387451568553931
cliente_antiguedad_lag2	0.00179961821472521	0.00062829872057734	0.00399950006249219
Visa_Fvencimiento_lag2	0.00173552708626373	0.000691996709959403	0.00474940632420947
ccallcenter_transacciones_delta1	0.00170872872933267	0.00215814157693133	0.00474940632420947
Visa_mconsumototal	0.00168225883589056	0.00165605547255069	0.00337457817772778
mcuentas_saldo_delta1	0.00166909179347112	0.00528060276519194	0.00599925009373828
Master_fultimo_cierre	0.00166195820367116	0.0012579430389128	0.00412448443944507
mtransferencias_recibidas_lag1	0.00162221509132434	0.00198115729875239	0.00499937507811524
Visa_Fvencimiento	0.0016125916380405	0.000410690432540045	0.00337457817772778
mcomisiones_delta2	0.0016007805535908	0.000367882609771646	0.00274965629296338
mrentabilidad_delta2	0.00157825197824429	0.000325952765682305	0.00312460942382202
Visa_mfinanciacion_limite	0.0015667984148905	0.00153780510502675	0.00512435945506812
chomebanking_transacciones_lag2	0.00156342464514595	0.000233243306905295	0.00449943757030371
mcuenta_corriente_lag2	0.0015603279675923	0.000699241624602714	0.00424946881639795
mpayroll_lag2	0.00155668088873274	0.00296931275878521	0.00449943757030371
mpayroll_lag1	0.00151796858616415	0.00227041946268017	0.00299962504686914
Visa_cconsumos_delta2	0.00150903009757638	0.00583523080378271	0.00412448443944507
internet_lag2	0.00149396769328686	0.00231672647583611	0.00312460942382202
Visa_mpagominimo_lag1	0.0014926932144177	0.00340236938006603	0.00487439070116236
Master_status_delta1	0.00149228213598302	0.000128143533074193	0.000374953130858643
thomebanking_delta2	0.00148902893975864	0.00144557917073966	0.00287464066991626
Master_msaldototal	0.00145704113694317	0.00577058485191383	0.00437445319335083
chomebanking_transacciones_lag1	0.00142495995105374	0.000251574292912793	0.00337457817772778
internet_lag1	0.00141888224527482	0.00431778144356497	0.00499937507811524
mcomisiones_lag1	0.0014144419327489	0.00118069841110767	0.00449943757030371
mttarjeta_visa_debitos_automaticos_lag1	0.00140180633672533	0.000630126252284291	0.00449943757030371
Visa_msaldototal_delta1	0.00139119230788106	0.00044830354812402	0.00237470316210474
Visa_Fvencimiento_lag1	0.00137864435509219	0.000186597508498189	0.00337457817772778
