semilla	corte_baseline	ganancia_baseline	corte_combinado	ganancia_combinado	diferencia
187211	1900	84.153	1400	90.716	6.56299999999999
322247	2100	88.972	1500	95.867	6.89500000000001
346321	1500	87.642	2200	88.307	0.665000000000006
390263	1600	82.409	1500	98.027	15.618
430267	2100	93.042	1500	91.63	-1.41200000000001
487649	1800	86.479	1900	92.211	5.732
522497	1700	89.387	1400	93.79	4.40300000000001
569321	2100	88.972	1400	91.215	2.24300000000001
906839	2100	88.722	1800	89.885	1.16300000000001
992689	1400	87.144	1600	93.208	6.06399999999999
